#Code,Source,OriginalCode,Abbr_or_Group,Name,IThresh,ITarget,CropSplit,IrrActive,Comment,
11,NLCD,11,n/a,Open Water,CR,FC,0,0,,
12,NLCD,12,n/a,Perennial Ice/Snow,CR,FC,0,0,,
21,NLCD,21,n/a,Developed/Open Space,CR,FC,0,0,,
22,NLCD,22,n/a,Developed/Low Intensity,CR,FC,0,0,,
23,NLCD,23,n/a,Developed/Medium Intensity,CR,FC,0,0,,
24,NLCD,24,n/a,Developed/High Intensity,CR,FC,0,0,,
31,NLCD,31,n/a,Barren Land,CR,FC,0,0,,
41,NLCD,41,n/a,Deciduous Forest,CR,FC,0,0,,
42,NLCD,42,n/a,Evergreen Forest,CR,FC,0,0,,
43,NLCD,43,n/a,Mixed Forest,CR,FC,0,0,,
52,NLCD,52,n/a,Shrub/Scrub,CR,FC,0,0,,
71,NLCD,71,n/a,Grassland/Herbaceous,CR,FC,0,0,,
81,NLCD,81,n/a,Pasture/Hay,CR,FC,1,1,,
82,NLCD,82,n/a,Cultivated Crops,CR,FC,1,1,,
90,NLCD,90,n/a,Woody Wetlands,CR,FC,0,0,,
95,NLCD,95,n/a,Emergent Herbaceous Wetlands,CR,FC,0,0,,
